食品産業 コード,食品産業 補助コード,食品産業,廃棄物等発生量、抑制実施量、実施率,食品廃棄物等の年間発生量_計【千t】,食品廃棄物等の年間発生量_1)食品リサイクル法で規定している用途への実施量【千t】,食品廃棄物等の年間発生量_熱回収の実施量【千t】,食品廃棄物等の年間発生量_減量した量【千t】,食品廃棄物等の年間発生量_2)その他【千t】,食品廃棄物等の年間発生量_廃棄物としての処分量【千t】,発生抑制の実施量【千t】,3)再生利用等実施率【%】
1001,,食品産業総計,,15246,11206,469,1623,225,1723,2991,89
1002,,食品製造業総計,,13149,10603,465,1597,188,295,2255,97
1003,,(製)畜産食料品製造業,,1082,980,2,42,17,40,273,96
1004,,(製)水産食料品製造業,,365,263,1,38,37,26,134,87
1005,,(製)野菜缶詰･果実缶詰･農産保存食料品製造業,,108,82,0,14,1,11,91,94
1006,,(製)調味料製造業,,186,150,1,5,9,22,158,91
1007,,(製)糖類製造業,,2243,932,317,989,4,0,178,99
1008,,(製)精穀・製粉業,,1595,1568,-,-,23,4,95,98
1009,,(製)パン・菓子製造業,,415,373,4,2,3,32,138,94
1010,,(製)動植物油脂製造業,,3679,3638,3,9,21,7,201,99
1011,,(製)その他の食料品製造業,,1617,1266,4,216,32,98,517,94
1012,,(製)清涼飲料製造業,,559,456,0,58,31,15,321,95
1013,,(製)酒類製造業,,1138,874,62,155,7,40,146,96
1014,,(製)茶･コーヒー製造業,,162,20,71,68,2,1,1,96
1015,,食品卸売業総計,,171,78,3,9,12,68,38,62
1016,,(卸)農畜産物・水産物卸売業,,123,55,2,8,9,48,18,59
1017,,(卸)食料・飲料卸売業,,49,23,1,1,3,20,20,67
1018,,食品小売業総計,,934,382,0,9,17,526,446,61
1019,,(小)各種食料品小売業,,646,275,-,8,11,352,332,63
1020,,(小)野菜・果実小売業,,8,1,-,-,-,6,2,31
1021,,(小)食肉小売業,,4,0,-,-,-,4,1,24
1022,,(小)鮮魚小売業,,22,11,-,-,5,6,3,54
1023,,(小)酒小売業,,2,0,-,-,0,2,-,14
1024,,(小)菓子・パン小売業,,11,2,-,0,0,9,4,37
1025,,(小)その他の飲食料品小売業,,241,92,0,1,0,148,105,57
1026,,外食産業総計,,991,143,0,8,7,833,252,32
1027,,(外)沿海旅客海運業,,0,0,-,-,-,-,-,100
1028,,(外)内陸水運業,,0,-,-,-,-,0,-,-
1029,,(外)宿泊業,,64,7,-,1,0,56,6,20
1030,,(外)飲食店,,839,121,0,5,7,705,198,31
1031,,(外)持ち帰り･配達飲食サービス業,,81,14,-,2,0,65,47,49
1032,,(外)結婚式場業,,8,1,-,0,-,7,0,10
